"","ID_10m","PM1","PM25","PM10","TempC","RH","CO2"
"1296",2020-03-13 17:50:00,0.648419241286997,1.08518830186993,3.95739354305879,24.15,26,326
"1297",2020-03-13 18:00:00,0.65662323195354,1.12823059278977,4.39372534833229,24,27,329
"1298",2020-03-13 18:10:00,0.617300077367258,1.02310175994727,4.17537680681222,24,26.5,327
"1299",2020-03-13 18:20:00,0.607348184153141,0.952505418144085,2.99046017434033,23.85,27,323.5
"1300",2020-03-13 18:30:00,0.597943152460751,0.925036082616656,2.41476909153204,23.9,27,323
"1301",2020-03-13 18:40:00,0.644883137920802,0.990040371911747,2.03881241018818,23.85,27,322.5
"1302",2020-03-13 18:50:00,0.655812029028613,0.992582264810432,2.1903276039784,23.8,27,321.5
"1303",2020-03-13 19:00:00,0.664676224871349,1.02467199415536,1.9483064596829,23.85,27,320
"1304",2020-03-13 19:10:00,0.646621862123993,1.05177839099561,4.32919101060945,23.9,27,323
"1305",2020-03-13 19:20:00,0.616009108906276,0.996649796858906,4.44687144550693,23.9,27,321
"1306",2020-03-13 19:30:00,0.588638574061046,0.967343800888494,2.85036632415754,23.85,27,320
"1307",2020-03-13 19:40:00,0.571832567848948,0.920215570381864,2.46953789965386,24.05,27,320
"1308",2020-03-13 19:50:00,0.541576905619779,0.89383083040306,1.99623325700044,24.05,27,320
"1309",2020-03-13 20:00:00,0.515560774053362,0.884588695254895,2.37432170417028,23.85,27,317.5
"1310",2020-03-13 20:10:00,0.501028225947703,0.869410993440842,3.98593244809182,23.85,27,319.5
"1311",2020-03-13 20:20:00,0.49010073320261,0.859128654404143,3.36188010938199,23.9,27,319
"1312",2020-03-13 20:30:00,0.470111239852168,0.845590698137644,4.51629283210515,23.95,27,320.5
"1313",2020-03-13 20:40:00,0.46091077591299,0.801551933945174,4.11471814577299,23.85,27,321.5
"1314",2020-03-13 20:50:00,0.468822000276,0.79526977672351,3.04178715416791,24,27,321
"1315",2020-03-13 21:00:00,0.459833604399156,0.82305514222514,2.6107347529236,24,27,323.5
"1316",2020-03-13 21:10:00,0.452242350850732,0.763206438296779,1.69875876789564,24,27,320.5
"1317",2020-03-13 21:20:00,0.444271581660725,0.779751510025755,1.69146811148197,23.8,27,317.5
"1318",2020-03-13 21:30:00,0.420110441801281,0.711719917995499,1.74261516016494,23.85,27,316
"1319",2020-03-13 21:40:00,0.404123520194882,0.695732996389101,1.45251736491812,23.85,27,316
"1320",2020-03-13 21:50:00,0.406084151848984,0.739628619088831,1.80627745347225,24.1,27,318
"1321",2020-03-13 22:00:00,0.390570893832235,0.660890297649442,1.34020854971486,23.9,27,315
"1322",2020-03-13 22:10:00,0.398268931442738,0.694394483595716,1.35583593955415,23.9,27,315.5
"1323",2020-03-13 22:20:00,0.385106804225204,0.694135430546068,1.60585203200228,24,27,314
"1324",2020-03-13 22:30:00,0.364159483262689,0.702220026461296,2.49585856919542,24.05,27,314.5
"1325",2020-03-13 22:40:00,0.363037640416219,0.71077548924074,2.58188014843846,23.95,27,315
"1326",2020-03-13 22:50:00,0.35221995728163,0.7057641894817,2.77947253789191,24.15,27,314.5
"1327",2020-03-13 23:00:00,0.352390176161539,0.69690225644409,2.1210870129672,24.1,27,315.5
"1328",2020-03-13 23:10:00,0.340049650602597,0.664561965924924,1.76696439252231,24,27,313.5
"1329",2020-03-13 23:20:00,0.360259373368688,0.695739301733719,1.71471667983184,23.85,27,311.5
"1330",2020-03-13 23:30:00,0.378368729908015,0.684171587686908,1.46479168435857,23.85,27,310.5
"1331",2020-03-13 23:40:00,0.383947358134015,0.729749745833354,1.56995916286163,23.95,27,312
"1332",2020-03-13 23:50:00,0.385472183690951,0.682242889552324,1.15895745240525,23.95,27,311
"1333",2020-03-14 00:00:00,0.385492828609619,0.699037530889244,1.46178083145392,23.9,27,310.5
"1334",2020-03-14 00:10:00,0.384638886635084,0.707215740832228,1.48187690546823,23.95,27,309.5
"1335",2020-03-14 00:20:00,0.387729598763302,0.707725838126869,1.58964777940478,24.05,27,312
"1336",2020-03-14 00:30:00,0.371478513727141,0.674700756672457,1.33018328059523,23.95,27,309.5
"1337",2020-03-14 00:40:00,0.372159643494545,0.727639336819798,1.37716292870691,24,27,310
"1338",2020-03-14 00:50:00,0.386882597752802,0.70107245374082,1.47573361837682,24.15,27,311
"1339",2020-03-14 01:00:00,0.403489248290909,0.776388091742808,1.61063857673542,24.2,27,313.5
"1340",2020-03-14 01:10:00,0.406594045745411,0.751751279736355,1.41319273569479,24.1,27,310
"1341",2020-03-14 01:20:00,0.412868982330497,0.741252219903189,1.52783124861051,24.05,27,310.5
"1342",2020-03-14 01:30:00,0.403228695179436,0.756772927379507,1.61485914051477,24.1,27,314
"1343",2020-03-14 01:40:00,0.381704511458705,0.715894132406946,1.28199267579479,24.35,26,315.5
"1344",2020-03-14 01:50:00,0.360420286780331,0.659126453766887,1.19543033697642,24.3,26,315.5
"1345",2020-03-14 02:00:00,0.3443989400263,0.625040803177815,1.19113934656566,24.3,26,316.5
"1346",2020-03-14 02:10:00,0.346466889662791,0.654850362275261,1.22094890566311,24.3,26,315.5
"1347",2020-03-14 02:20:00,0.36070771388076,0.694252181120608,1.34973470504338,24.25,26,316
"1348",2020-03-14 02:30:00,0.371204790581345,0.724103869073021,1.29616134449653,24.25,26,314.5
"1349",2020-03-14 02:40:00,0.3857105155476,0.747641745956796,1.30778135730898,24.25,26,313
"1350",2020-03-14 02:50:00,0.398872693614688,0.754997540648335,1.28534249182221,24.15,26,313
"1351",2020-03-14 03:00:00,0.415974873050396,0.817905633380038,1.37804524473222,24.1,26,311.5
"1352",2020-03-14 03:10:00,0.422650987186802,0.822646286391261,1.51984133456366,24.1,26,311
"1353",2020-03-14 03:20:00,0.437602713585674,0.855017162916779,1.76673376437299,24.05,26.5,311
"1354",2020-03-14 03:30:00,0.450188562814855,0.886957623397788,1.80463315688966,23.95,27,311.5
"1355",2020-03-14 03:40:00,0.467541939044216,0.941729914714018,1.71639107935002,24,27,310
"1356",2020-03-14 03:50:00,0.467139617377944,0.927779365171467,1.76202985016408,23.85,27,309.5
"1357",2020-03-14 04:00:00,0.488035707415438,0.935772381041074,1.71043354567707,23.75,27,309
"1358",2020-03-14 04:10:00,0.496234409728431,0.974938461356993,1.80323001431395,23.7,27,309
"1359",2020-03-14 04:20:00,0.504578160392414,1.03166874015055,1.68715126407332,23.7,27,309
"1360",2020-03-14 04:30:00,0.509482320142502,1.05657266486086,1.81335703338987,23.7,27,308.5
"1361",2020-03-14 04:40:00,0.531432419722269,1.05142630868807,2.04060902660788,23.6,27,306.5
"1362",2020-03-14 04:50:00,0.533087165888067,1.08920966252394,2.19161208912133,23.6,27,305.5
"1363",2020-03-14 05:00:00,0.540578754311883,1.11863647703317,1.90521550574049,23.6,27,305
"1364",2020-03-14 05:10:00,0.552960849380707,1.152308644479,2.30238252736168,23.6,27,305
"1365",2020-03-14 05:20:00,0.555517514074646,1.15357500175615,2.32748461278147,23.6,26.5,305.5
"1366",2020-03-14 05:30:00,0.556359531828916,1.17183616963707,2.09547063516461,23.6,26,306
"1367",2020-03-14 05:40:00,0.568142593734253,1.11910386070298,2.19767055915771,23.55,26.5,304.5
"1368",2020-03-14 05:50:00,0.558963588306597,1.13895677215306,2.32478424724971,23.65,26,305
"1369",2020-03-14 06:00:00,0.562713208947396,1.16722223371284,2.07893883516906,23.6,26,304.5
"1370",2020-03-14 06:10:00,0.570473232163458,1.16272433646942,2.02081054960468,23.6,26,305
"1371",2020-03-14 06:20:00,0.575417130839505,1.2089580724827,2.34115515925839,23.55,26,304.5
"1372",2020-03-14 06:30:00,0.563971023499581,1.18912496693365,2.08296477228288,23.6,26,304
"1373",2020-03-14 06:40:00,0.582421885639347,1.25144628124422,2.49686307669748,23.5,26,303.5
"1374",2020-03-14 06:50:00,0.576610773255335,1.25466732077773,2.67289314526518,23.5,26,302
"1375",2020-03-14 07:00:00,0.584587568117417,1.29748241589311,2.51906348320372,23.5,26,302.5
"1376",2020-03-14 07:10:00,0.578770862282534,1.22779549292719,2.51492481263008,23.45,26,302.5
"1377",2020-03-14 07:20:00,0.574701931871342,1.27404855177075,2.54926000740232,23.45,26,303
"1378",2020-03-14 07:30:00,0.574298898311324,1.28525828496183,2.86437527441214,23.5,26,302
"1379",2020-03-14 07:40:00,0.582213377045749,1.29059214886268,2.94717525477658,23.45,26,303
"1380",2020-03-14 07:50:00,0.584821018416943,1.2790064086492,2.4707928157815,23.45,26,302.5
"1381",2020-03-14 08:00:00,0.580947274016365,1.33319649800411,3.0851225164886,23.45,26,302.5
"1382",2020-03-14 08:10:00,0.594980835454795,1.36077828731882,2.72537372348531,23.45,26,301
"1383",2020-03-14 08:20:00,0.591473538360585,1.30436838613627,2.80006032708732,23.4,26,302
"1384",2020-03-14 08:30:00,0.596436785291689,1.3861049243663,2.88179686531734,23.4,26,302
"1385",2020-03-14 08:40:00,0.607935191397255,1.43115132330837,3.07581656515095,23.4,25.5,303
"1386",2020-03-14 08:50:00,0.626383256811586,1.5063729150614,3.4728204868297,23.4,25,302.5
"1387",2020-03-14 09:00:00,0.627574127926758,1.5043380176346,3.19667471576247,23.35,25,302
"1388",2020-03-14 09:10:00,0.648347390868083,1.62769072021061,3.59413829197892,23.35,25,302
"1389",2020-03-14 09:20:00,0.661850667739184,1.59280746895214,3.94658562303845,23.35,25,302
"1390",2020-03-14 09:30:00,0.674469798001046,1.70671573143191,4.37035835137261,23.3,25,302.5
"1391",2020-03-14 09:40:00,0.697421125286687,1.76321505155405,4.82610611788408,23.3,25,302
"1392",2020-03-14 09:50:00,0.72432272555073,1.87656724874293,4.77260821807443,23.25,25,302
"1393",2020-03-14 10:00:00,0.732015500232458,1.89135671421699,4.7873976835485,23.3,24.5,302
"1394",2020-03-14 10:10:00,0.733812981094569,1.93444403241634,5.12843160353092,23.3,24,303.5
"1395",2020-03-14 10:20:00,0.752663368175171,1.93200434711993,5.48948677240987,23.3,24,303.5
"1396",2020-03-14 10:30:00,0.75779571529601,1.9674589185353,5.02439105282967,23.25,24,303
"1397",2020-03-14 10:40:00,0.761999549572296,1.97682398247874,4.6940969907404,23.3,24,302.5
"1398",2020-03-14 10:50:00,0.773710583085283,1.96079340653077,5.10710952136006,23.3,24,302.5
"1399",2020-03-14 11:00:00,0.785022320480424,2.05855574085075,5.50281845746311,23.2,24,302
"1400",2020-03-14 11:10:00,0.799323248870478,2.09027581936745,5.30214018658901,23.2,24,302.5
"1401",2020-03-14 11:20:00,0.804475147644588,2.13542724806201,5.42475773174717,23.25,24,302.5
