"","TimeStamp_1h","Spot_O","Model_O","RH_O","CO2_O","BP_O","TempC_O","PM1_O","PM25_O","PM10_O","Spot_M","Model_M","RH_M","CO2_M","BP_M","TempC_M","PM1_M","PM25_M","PM10_M","Spot_E","Model_E","RH_E","CO2_E","BP_E","TempC_E","PM1_E","PM25_E","PM10_E","Wind Speed (m/s)","Wind Direction","TOSAC","Opening","Bscat.rev","Tower_Neph","Bellevue","Weller","LFP","Lynnwood","Duwamish","Lynn_Dis","LFP_Dis","Wel_Dis","Bel_Dis","Duw_Dis","occupancy","Wind_NS","Lynn_Travel","LFP_Travel","Wel_Travel","Bel_Travel","Duw_Travel"
"24",2019-08-02 01:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.43820073333333,197.383333333333,22.45,0,NA,NA,0.9,3,1.4,1.1,4.1,16208.12,10733.51,7081.74,14163.54,11352.23,NA,1,1.30948013357865,0.867177569549572,0.572145186558916,1.14429522061452,0.917164955393691
"25",2019-08-02 02:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.34929426666667,153.55,20.925,0,NA,NA,0.9,0,1.6,1.2,4.1,16208.12,10733.51,7081.74,14163.54,11352.23,NA,1,1.91642895461693,1.26911753791744,0.837336568650092,1.67468023162928,1.34227425953602
"26",2019-08-02 03:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.27212766666667,153.55,20.75,0,NA,NA,1,0,1.6,1.3,3.9,16208.12,10733.51,7081.74,14163.54,11352.23,NA,1,1.98151522100015,1.31221964297879,0.865774414377831,1.73155616402423,1.3878609325014
"27",2019-08-02 04:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.186387,187.783333333333,21.675,0,NA,NA,1,4,2.2,1.7,4.7,16208.12,10733.51,7081.74,14163.54,11352.23,NA,1,2.05922170025506,1.36367923682109,0.899726352196569,1.7994603273193,1.44228685142302
"28",2019-08-02 05:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3407202,156.166666666667,19.65,0.241333333333333,NA,NA,1.1,4,2.4,1.7,5.3,16208.12,10733.51,7081.74,14163.54,11352.23,NA,1,1.92344884089758,1.27376632010761,0.840403735568224,1.6808145914521,1.34719101506546
"29",2019-08-02 06:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.35786833333333,148.416666666667,18.2666666666667,1,NA,NA,0.9,6,2.5,1.7,5.1,16208.12,10733.51,7081.74,14163.54,11352.23,NA,1,1.90946012205469,1.26450256505228,0.834291708400455,1.66859048533244,1.33739326222862
"30",2019-08-02 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.60651626666667,156.716666666667,17.95,1,NA,NA,0.6,4,2.9,1.7,5.2,16208.12,10733.51,7081.74,14163.54,11352.23,NA,1,1.72730767620079,1.14387567562295,0.754704670428043,1.50941573508691,1.20981298392391
"31",2019-08-02 08:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.18097873333333,161.3,18.6583333333333,1,NA,NA,0.6,3,3.1,2.1,5.7,16208.12,10733.51,7081.74,14163.54,11352.23,NA,1,1.41536801500011,0.937299744984847,0.618410295984165,1.23682583144588,0.991329237500997
"32",2019-08-02 09:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.0383854,172.666666666667,19.525,1,NA,NA,0.6,4,2.8,1.9,5.4,16208.12,10733.51,7081.74,14163.54,11352.23,NA,1,1.11486525173045,0.738297675985941,0.487112993227442,0.97423011351682,0.780855938668514
"33",2019-08-02 10:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.82086793333333,186.316666666667,20.1,1,NA,NA,0.7,6,1.8,1.4,5.2,16208.12,10733.51,7081.74,14163.54,11352.23,NA,1,1.59605329351076,1.05695503157866,0.697356291216186,1.3947184907794,1.11788190611815
"34",2019-08-02 11:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.58079406666667,204.2,20.325,1,NA,NA,0.7,4,1.9,1.4,4.4,16208.12,10733.51,7081.74,14163.54,11352.23,NA,1,1.74452336732571,1.15527642986504,0.762226643887459,1.52445974573562,1.22187092064076
"35",2019-08-02 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.40073866666667,213.8,21.2916666666667,1,NA,NA,0.8,9,1.9,1.7,4.2,16208.12,10733.51,7081.74,14163.54,11352.23,NA,1,1.87536261987514,1.24192216210492,0.819393642179018,1.63879422666579,1.31351123968882
"36",2019-08-02 13:00:00,"O3",2658,59.5,468.666666666667,101.145833333333,22.7833333333333,1.14977621816667,3.40351317266667,14.6082917116667,"Mixing",1423,73.5,688.666666666667,101.177083333333,19.1916666666667,1.62455183333333,3.4068965,12.0264911666667,"Exhaust",1702,62.4166666666667,431.5,101.1875,22.8166666666667,0.617771925,1.24163553333333,3.80000366666667,2.43503493333333,264.333333333333,19.4416666666667,1,NA,NA,0.7,6,2.9,2.2,4.4,16208.12,10733.51,7081.74,14163.54,11352.23,NA,1,1.84894906184873,1.22443030066683,0.80785288665537,1.61571261783951,1.29501108138335
